,ideCadastro,condicao,matricula,idParlamentar,nome,nomeParlamentar,urlFoto,sexo,uf,partido,gabinete,anexo,fone,email
42,74474,Suplente,530,5830813,CARLOS EDUARDO CINTRA DA COSTA PEREIRA,CARLOS EDUARDO CADOCA,http://www.camara.gov.br/internet/deputado/bandep/74474.jpg,masculino,PE,PDT,583,3,3215-5583,dep.carloseduardocadoca@camara.gov.br
43,187008,Suplente,545,5830836,SILAS FREIRE PEREIRA E SILVA,SILAS FREIRE,http://www.camara.gov.br/internet/deputado/bandep/187008.jpg,masculino,PI,PODE,484,3,3215-5484,dep.silasfreire@camara.gov.br
44,73992,Titular,598,5830917,YEDA RORATO CRUSIUS,YEDA CRUSIUS,http://www.camara.gov.br/internet/deputado/bandep/73992.jpg,feminino,RS,PSDB,445,4,3215-5445,dep.yedacrusius@camara.gov.br
45,160566,Suplente,567,5830863,NELSON PADOVANI,NELSON PADOVANI,http://www.camara.gov.br/internet/deputado/bandep/160566.jpg,masculino,PR,PSDB,513,4,3215-5513,dep.nelsonpadovani@camara.gov.br
46,193982,Suplente,569,5830865,LUCIANO FRED BRAGA PENHA,PASTOR LUCIANO BRAGA,http://www.camara.gov.br/internet/deputado/bandep/193982.jpg,masculino,BA,PRB,810,4,3215-5810,dep.pastorlucianobraga@camara.gov.br
47,160674,Titular,132,5830343,HUGO MOTTA WANDERLEY DA NÓBREGA,HUGO MOTTA,http://www.camara.gov.br/internet/deputado/bandep/160674.jpg,masculino,PB,PMDB,237,4,3215-5237,dep.hugomotta@camara.gov.br
48,160622,Titular,395,5830344,VICENTE CÂNDIDO DA SILVA,VICENTE CANDIDO,http://www.camara.gov.br/internet/deputado/bandep/160622.jpg,masculino,SP,PT,819,4,3215-5819,dep.vicentecandido@camara.gov.br
49,74060,Titular,188,5830345,DANIEL GOMES DE ALMEIDA,DANIEL ALMEIDA,http://www.camara.gov.br/internet/deputado/bandep/74060.jpg,masculino,BA,PCdoB,317,4,3215-5317,dep.danielalmeida@camara.gov.br
50,160649,Titular,471,5830346,ESPERIDIÃO AMIN HELOU FILHO,ESPERIDIÃO AMIN,http://www.camara.gov.br/internet/deputado/bandep/160649.jpg,masculino,SC,PP,252,4,3215-5252,dep.esperidiaoamin@camara.gov.br
51,93472,Titular,296,5830347,CRISTIANE BRASIL FRANCISCO,CRISTIANE BRASIL,http://www.camara.gov.br/internet/deputado/bandep/93472.jpg,feminino,RJ,PTB,644,4,3215-5644,dep.cristianebrasil@camara.gov.br
52,132504,Titular,449,5830348,ENIO JOSÉ VERRI,ENIO VERRI,http://www.camara.gov.br/internet/deputado/bandep/132504.jpg,masculino,PR,PT,472,3,3215-5472,dep.enioverri@camara.gov.br
53,141428,Titular,119,5830349,FÁBIO SALUSTINO MESQUITA DE FARIA,FÁBIO FARIA,http://www.camara.gov.br/internet/deputado/bandep/141428.jpg,masculino,RN,PSD,706,4,3215-5706,dep.fabiofaria@camara.gov.br
54,164359,Titular,421,5830350,WALDIR SOARES DE OLIVEIRA,DELEGADO WALDIR,http://www.camara.gov.br/internet/deputado/bandep/164359.jpg,masculino,GO,PR,645,4,3215-5645,dep.delegadowaldir@camara.gov.br
55,178873,Titular,279,5830351,HELDER IGNACIO SALOMAO,HELDER SALOMÃO,http://www.camara.gov.br/internet/deputado/bandep/178873.jpg,masculino,ES,PT,573,3,3215-5573,dep.heldersalomao@camara.gov.br
56,73553,Titular,381,5830353,NELSON MARQUEZELLI,NELSON MARQUEZELLI,http://www.camara.gov.br/internet/deputado/bandep/73553.jpg,masculino,SP,PTB,920,4,3215-5920,dep.nelsonmarquezelli@camara.gov.br
57,73714,Titular,77,5830354,José Reinaldo Carneiro Tavares,JOSÉ REINALDO,http://www.camara.gov.br/internet/deputado/bandep/73714.jpg,masculino,MA,PSB,529,4,3215-5529,dep.josereinaldo@camara.gov.br
58,113247,Titular,393,5830355,VALMIR PRASCIDELLI,VALMIR PRASCIDELLI,http://www.camara.gov.br/internet/deputado/bandep/113247.jpg,masculino,SP,PT,837,4,3215-5837,dep.valmirprascidelli@camara.gov.br
59,74160,Titular,249,5830356,PATRUS ANANIAS DE SOUSA,PATRUS ANANIAS,http://www.camara.gov.br/internet/deputado/bandep/74160.jpg,masculino,MG,PT,720,4,3215-5720,dep.patrusananias@camara.gov.br
60,73926,Titular,10,5830358,JANETE MARIA GÓES CAPIBERIBE,JANETE CAPIBERIBE,http://www.camara.gov.br/internet/deputado/bandep/73926.jpg,feminino,AP,PSB,209,4,3215-5209,dep.janetecapiberibe@camara.gov.br
61,159237,Titular,111,5830359,FRANCISCO DE ASSIS CARVALHO GONÇALVES,ASSIS CARVALHO,http://www.camara.gov.br/internet/deputado/bandep/159237.jpg,masculino,PI,PT,909,4,3215-5909,dep.assiscarvalho@camara.gov.br
62,178984,Titular,377,5830360,MIGUEL MOUBADDA HADDAD,MIGUEL HADDAD,http://www.camara.gov.br/internet/deputado/bandep/178984.jpg,masculino,SP,PSDB,250,4,3215-5250,dep.miguelhaddad@camara.gov.br
63,73666,Titular,419,5830361,JOVAIR DE OLIVEIRA ARANTES,JOVAIR ARANTES,http://www.camara.gov.br/internet/deputado/bandep/73666.jpg,masculino,GO,PTB,504,4,3215-5504,dep.jovairarantes@camara.gov.br
64,151208,Titular,176,5830362,LAERCIO JOSÉ DE OLIVEIRA,LAERCIO OLIVEIRA,http://www.camara.gov.br/internet/deputado/bandep/151208.jpg,masculino,SE,SD,629,4,3215-5629,dep.laerciooliveira@camara.gov.br
65,178893,Titular,229,5830363,EDSON MOREIRA DA SILVA,DELEGADO EDSON MOREIRA,http://www.camara.gov.br/internet/deputado/bandep/178893.jpg,masculino,MG,PR,933,4,3215-5933,dep.delegadoedsonmoreira@camara.gov.br
66,178914,Titular,138,5830364,ADALBERTO CAVALCANTI RODRIGUES,ADALBERTO CAVALCANTI,http://www.camara.gov.br/internet/deputado/bandep/178914.jpg,masculino,PE,AVANTE,402,4,3215-5402,dep.adalbertocavalcanti@camara.gov.br
67,178946,Titular,328,5830365,SORAYA ALENCAR DOS SANTOS,SORAYA SANTOS,http://www.camara.gov.br/internet/deputado/bandep/178946.jpg,feminino,RJ,PMDB,352,4,3215-5352,dep.sorayasantos@camara.gov.br
68,129618,Titular,100,5830366,MARIA GORETE PEREIRA,GORETE PEREIRA,http://www.camara.gov.br/internet/deputado/bandep/129618.jpg,feminino,CE,PR,206,4,3215-5206,dep.goretepereira@camara.gov.br
69,74848,Titular,305,5830367,JANDIRA FEGHALI,JANDIRA FEGHALI,http://www.camara.gov.br/internet/deputado/bandep/74848.jpg,feminino,RJ,PCdoB,622,4,3215-5622,dep.jandirafeghali@camara.gov.br
70,141518,Titular,372,5830369,PAULO PEREIRA DA SILVA,PAULO PEREIRA DA SILVA,http://www.camara.gov.br/internet/deputado/bandep/141518.jpg,masculino,SP,SD,217,4,3215-5217,dep.paulopereiradasilva@camara.gov.br
71,178968,Titular,175,5830370,ADELSON BARRETO DOS SANTOS,ADELSON BARRETO,http://www.camara.gov.br/internet/deputado/bandep/178968.jpg,masculino,SE,PR,937,4,3215-5937,dep.adelsonbarreto@camara.gov.br
72,178896,Titular,247,5830372,NEWTON CARDOSO JUNIOR,NEWTON CARDOSO JR,http://www.camara.gov.br/internet/deputado/bandep/178896.jpg,masculino,MG,PMDB,932,4,3215-5932,dep.newtoncardosojr@camara.gov.br
73,178875,Titular,416,5830373,ALEXANDRE BALDY DE SANT'ANNA BRAGA,ALEXANDRE BALDY,http://www.camara.gov.br/internet/deputado/bandep/178875.jpg,masculino,GO,PODE,441,4,3215-5441,dep.alexandrebaldy@camara.gov.br
74,74095,Titular,40,5830374,PAUDERNEY TOMAZ AVELINO,PAUDERNEY AVELINO,http://www.camara.gov.br/internet/deputado/bandep/74095.jpg,masculino,AM,DEM,610,4,3215-5610,dep.pauderneyavelino@camara.gov.br
75,171617,Titular,170,5830375,PAULO FERNANDO DOS SANTOS,PAULÃO,http://www.camara.gov.br/internet/deputado/bandep/171617.jpg,masculino,AL,PT,366,3,3215-5366,dep.paulao@camara.gov.br
76,178998,Titular,258,5830376,TANIA RAQUEL DE QUEIROZ MUNIZ,RAQUEL MUNIZ,http://www.camara.gov.br/internet/deputado/bandep/178998.jpg,feminino,MG,PSD,444,4,3215-5444,dep.raquelmuniz@camara.gov.br
77,160607,Titular,506,5830377,JOSE LUIZ STÉDILE,JOSE STÉDILE,http://www.camara.gov.br/internet/deputado/bandep/160607.jpg,masculino,RS,PSB,354,4,3215-5354,dep.josestedile@camara.gov.br
78,160976,Titular,392,5830378,FRANCISCO EVERARDO OLIVEIRA SILVA,TIRIRICA,http://www.camara.gov.br/internet/deputado/bandep/160976.jpg,masculino,SP,PR,637,4,3215-5637,dep.tiririca@camara.gov.br
79,160601,Titular,379,5830379,MARCO ANTÔNIO FELICIANO,PR. MARCO FELICIANO,http://www.camara.gov.br/internet/deputado/bandep/160601.jpg,masculino,SP,PSC,254,4,3215-5254,dep.pr.marcofeliciano@camara.gov.br
80,160518,Titular,270,5830380,WELITON FERNANDES PRADO,WELITON PRADO,http://www.camara.gov.br/internet/deputado/bandep/160518.jpg,masculino,MG,PROS,862,4,3215-5862,dep.welitonprado@camara.gov.br
81,160545,Titular,334,5830381,ALEXANDRE LEITE DA SILVA,ALEXANDRE LEITE,http://www.camara.gov.br/internet/deputado/bandep/160545.jpg,masculino,SP,DEM,841,4,3215-5841,dep.alexandreleite@camara.gov.br
82,178980,Titular,361,5830382,ANTONIO GOULART DOS REIS,GOULART,http://www.camara.gov.br/internet/deputado/bandep/178980.jpg,masculino,SP,PSD,533,4,3215-5533,dep.goulart@camara.gov.br
83,160646,Titular,450,5830383,FERNANDO DESTITO FRANCISCHINI,DELEGADO FRANCISCHINI,http://www.camara.gov.br/internet/deputado/bandep/160646.jpg,masculino,PR,SD,265,3,3215-5265,dep.delegadofrancischini@camara.gov.br
84,160669,Titular,99,5830384,GENECIAS MATEUS NORONHA,GENECIAS NORONHA,http://www.camara.gov.br/internet/deputado/bandep/160669.jpg,masculino,CE,SD,244,4,3215-5244,dep.geneciasnoronha@camara.gov.br
85,73891,Titular,491,5830385,DARCÍSIO PAULO PERONDI,DARCÍSIO PERONDI,http://www.camara.gov.br/internet/deputado/bandep/73891.jpg,masculino,RS,PMDB,518,4,3215-5518,dep.darcisioperondi@camara.gov.br
86,74378,Titular,443,5830386,ASSIS MIGUEL DO COUTO,ASSIS DO COUTO,http://www.camara.gov.br/internet/deputado/bandep/74378.jpg,masculino,PR,PDT,428,4,3215-5428,dep.assisdocouto@camara.gov.br
87,160642,Titular,155,5830387,FRANCISCO EURICO DA SILVA,PASTOR EURICO,http://www.camara.gov.br/internet/deputado/bandep/160642.jpg,masculino,PE,PHS,906,4,3215-5906,dep.pastoreurico@camara.gov.br
88,148134,Titular,406,5830388,VICTORIO GALLI FILHO,PROFESSOR VICTÓRIO GALLI,http://www.camara.gov.br/internet/deputado/bandep/148134.jpg,masculino,MT,PSC,539,4,3215-5539,dep.professorvictoriogalli@camara.gov.br
89,67138,Titular,113,5830389,IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,IRACEMA PORTELLA,http://www.camara.gov.br/internet/deputado/bandep/67138.jpg,feminino,PI,PP,924,4,3215-5924,dep.iracemaportella@camara.gov.br
90,62881,Titular,95,5830390,FRANCISCO DANILO BASTOS FORTE,DANILO FORTE,http://www.camara.gov.br/internet/deputado/bandep/62881.jpg,masculino,CE,S.PART.,384,3,3215-5384,dep.daniloforte@camara.gov.br
91,178860,Titular,215,5830391,PAULO VELLOSO DANTAS AZI,PAULO AZI,http://www.camara.gov.br/internet/deputado/bandep/178860.jpg,masculino,BA,DEM,635,4,3215-5635,dep.pauloazi@camara.gov.br
92,178949,Titular,126,5830392,ZENAIDE MAIA CALADO PEREIRA DOS SANTOS,ZENAIDE MAIA,http://www.camara.gov.br/internet/deputado/bandep/178949.jpg,feminino,RN,PR,439,4,3215-5439,dep.zenaidemaia@camara.gov.br
93,141558,Titular,84,5830393,WALDIR MARANHÃO CARDOSO,WALDIR MARANHÃO,http://www.camara.gov.br/internet/deputado/bandep/141558.jpg,masculino,MA,AVANTE,5,1,3215-5975,dep.waldirmaranhao@camara.gov.br
94,178911,Titular,35,5830394,SIMONE MARIA MORGADO FERREIRA,SIMONE MORGADO,http://www.camara.gov.br/internet/deputado/bandep/178911.jpg,feminino,PA,PMDB,440,4,3215-5440,dep.simonemorgado@camara.gov.br
95,74043,Titular,136,5830395,JOSÉ WELLINGTON ROBERTO,WELLINGTON ROBERTO,http://www.camara.gov.br/internet/deputado/bandep/74043.jpg,masculino,PB,PR,514,4,3215-5514,dep.wellingtonroberto@camara.gov.br
96,178971,Titular,181,5830396,JONY MARCOS DE SOUZA ARAUJO,JONY MARCOS,http://www.camara.gov.br/internet/deputado/bandep/178971.jpg,masculino,SE,PRB,807,4,3215-5807,dep.jonymarcos@camara.gov.br
97,152605,Titular,304,5830397,GLAUBER DE MEDEIROS BRAGA,GLAUBER BRAGA,http://www.camara.gov.br/internet/deputado/bandep/152605.jpg,masculino,RJ,PSOL,362,4,3215-5362,dep.glauberbraga@camara.gov.br
98,160565,Titular,366,5830398,MARA CRISTINA GABRILLI,MARA GABRILLI,http://www.camara.gov.br/internet/deputado/bandep/160565.jpg,feminino,SP,PSDB,226,4,3215-5226,dep.maragabrilli@camara.gov.br
99,141411,Titular,434,5830399,DAGOBERTO NOGUEIRA FILHO,DAGOBERTO NOGUEIRA,http://www.camara.gov.br/internet/deputado/bandep/141411.jpg,masculino,MS,PDT,654,4,3215-5654,dep.dagobertonogueira@camara.gov.br
100,74558,Titular,166,5830400,GIVALDO DE SÁ GOUVEIA,GIVALDO CARIMBÃO,http://www.camara.gov.br/internet/deputado/bandep/74558.jpg,masculino,AL,PHS,732,4,3215-5732,dep.givaldocarimbao@camara.gov.br
101,74356,Titular,39,5830401,SILAS CÂMARA,SILAS CÂMARA,http://www.camara.gov.br/internet/deputado/bandep/74356.jpg,masculino,AM,PRB,532,4,3215-5532,dep.silascamara@camara.gov.br
102,74156,Titular,253,5830402,JOSÉ LEONARDO COSTA MONTEIRO,LEONARDO MONTEIRO,http://www.camara.gov.br/internet/deputado/bandep/74156.jpg,masculino,MG,PT,922,4,3215-5922,dep.leonardomonteiro@camara.gov.br
103,178839,Titular,56,5830403,JESSICA ROJAS SALES,JÉSSICA SALES,http://www.camara.gov.br/internet/deputado/bandep/178839.jpg,feminino,AC,PMDB,952,4,3215-5952,dep.jessicasales@camara.gov.br
104,179000,Titular,235,5830404,MARCELO HENRIQUE TEIXEIRA DIAS,MARCELO ÁLVARO ANTÔNIO,http://www.camara.gov.br/internet/deputado/bandep/179000.jpg,masculino,MG,PR,824,4,3215-5824,dep.marceloalvaroantonio@camara.gov.br
105,178826,Titular,368,5830405,SERGIO OLIMPIO GOMES,MAJOR OLIMPIO,http://www.camara.gov.br/internet/deputado/bandep/178826.jpg,masculino,SP,SD,279,3,3215-5279,dep.majorolimpio@camara.gov.br
106,74010,Titular,489,5830406,VALDIR COLATTO,VALDIR COLATTO,http://www.camara.gov.br/internet/deputado/bandep/74010.jpg,masculino,SC,PMDB,516,4,3215-5516,dep.valdircolatto@camara.gov.br
107,178931,Titular,457,5830407,LUCIANO DUCCI,LUCIANO DUCCI,http://www.camara.gov.br/internet/deputado/bandep/178931.jpg,masculino,PR,PSB,427,4,3215-5427,dep.lucianoducci@camara.gov.br
108,141384,Titular,183,5830408,ANTÔNIO CARLOS VALADARES FILHO,VALADARES FILHO,http://www.camara.gov.br/internet/deputado/bandep/141384.jpg,masculino,SE,PSB,660,4,3215-5660,dep.valadaresfilho@camara.gov.br
109,167493,Titular,83,5830409,WEVERTON ROCHA MARQUES DE SOUSA,WEVERTON ROCHA,http://www.camara.gov.br/internet/deputado/bandep/167493.jpg,masculino,MA,PDT,405,4,3215-5405,dep.wevertonrocha@camara.gov.br
110,162332,Titular,459,5830410,LUIZ HILOSHI NISHIMORI,LUIZ NISHIMORI,http://www.camara.gov.br/internet/deputado/bandep/162332.jpg,masculino,PR,PR,907,4,3215-5907,dep.luiznishimori@camara.gov.br
111,74253,Titular,308,5830411,JULIO LUIZ BAPTISTA LOPES,JULIO LOPES,http://www.camara.gov.br/internet/deputado/bandep/74253.jpg,masculino,RJ,PP,544,4,3215-5544,dep.juliolopes@camara.gov.br
112,178965,Titular,514,5830412,JOAO DERLY DE OLIVEIRA NUNES JUNIOR,JOÃO DERLY,http://www.camara.gov.br/internet/deputado/bandep/178965.jpg,masculino,RS,REDE,901,4,3215-5901,dep.joaoderly@camara.gov.br
113,141405,Titular,472,5830413,CELSO MALDANER,CELSO MALDANER,http://www.camara.gov.br/internet/deputado/bandep/141405.jpg,masculino,SC,PMDB,311,4,3215-5311,dep.celsomaldaner@camara.gov.br
114,178857,Titular,204,5830414,JORGE JOSE SANTOS PEREIRA SOLLA,JORGE SOLLA,http://www.camara.gov.br/internet/deputado/bandep/178857.jpg,masculino,BA,PT,571,3,3215-5571,dep.jorgesolla@camara.gov.br
115,178877,Titular,426,5830415,FABIO FERNANDES DE SOUSA,FÁBIO SOUSA,http://www.camara.gov.br/internet/deputado/bandep/178877.jpg,masculino,GO,PSDB,271,3,3215-5271,dep.fabiosousa@camara.gov.br
116,74570,Titular,206,5830416,JUTAHY MAGALHÃES JÚNIOR,JUTAHY JUNIOR,http://www.camara.gov.br/internet/deputado/bandep/74570.jpg,masculino,BA,PSDB,407,4,3215-5407,dep.jutahyjunior@camara.gov.br
