,ideCadastro,nome,nomeParlamentar,sexo,uf,partido,condicao,email,urlFoto,fone,qtdPropostas,qtdPresencas,qtdAusencias
21,133374,ADEMIR CAMILO PRATES RODRIGUES,ADEMIR CAMILO,masculino,MG,PODE,Suplente,dep.ademircamilo@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/133374.jpg,3215-5556,2,10,6
22,133374,ADEMIR CAMILO PRATES RODRIGUES,ADEMIR CAMILO,masculino,MG,PODE,Suplente,dep.ademircamilo@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/133374.jpg,3215-5556,2,25,6
23,133374,ADEMIR CAMILO PRATES RODRIGUES,ADEMIR CAMILO,masculino,MG,PODE,Suplente,dep.ademircamilo@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/133374.jpg,3215-5556,2,25,6
24,74277,ANTONIO ADOLPHO LOBBE NETO,LOBBE NETO,masculino,SP,PSDB,Titular,dep.lobbeneto@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/74277.jpg,3215-5275,3,46,2
25,181316,ELIZEU DIONIZIO SOUZA  DA SILVA,ELIZEU DIONIZIO,masculino,MS,PSDB,Titular,dep.elizeudionizio@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/181316.jpg,3215-5531,3,25,21
26,167614,SEVERINO DE SOUZA SILVA,SEVERINO NINHO,masculino,PE,PSB,Suplente,dep.severinoninho@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/167614.jpg,3215-5314,10,42,6
27,141522,RAIMUNDO SABINO CASTELO BRANCO MAUÉS,SABINO CASTELO BRANCO,masculino,AM,PTB,Titular,dep.sabinocastelobranco@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/141522.jpg,3215-5474,3,32,15
28,196378,IZAQUE JOSE DA SILVA,IZAQUE SILVA,masculino,SP,PSDB,Suplente,dep.izaquesilva@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/196378.jpg,3215-5915,5,46,2
29,194260,NIVALDO FERREIRA DE ALBUQUERQUE NETO,NIVALDO ALBUQUERQUE,masculino,AL,PRP,Suplente,dep.nivaldoalbuquerque@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/194260.jpg,3215-5425,6,36,11
30,195278,MOISES DINIZ LIMA,MOISÉS DINIZ,masculino,AC,PCdoB,Suplente,dep.moisesdiniz@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/195278.jpg,3215-5421,6,39,8
31,195826,MARCELO JANDRE DELAROLI,MARCELO DELAROLI,masculino,RJ,PR,Titular,dep.marcelodelaroli@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/195826.jpg,3215-5509,4,41,7
32,196357,DEJORGE PATRICIO DA SILVA,DEJORGE PATRÍCIO,masculino,RJ,PRB,Suplente,dep.dejorgepatricio@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/196357.jpg,3215-5714,1,36,10
33,160660,MARCELO THEODORO DE AGUIAR,MARCELO AGUIAR,masculino,SP,DEM,Suplente,dep.marceloaguiar@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/160660.jpg,3215-5367,2,39,9
34,74474,CARLOS EDUARDO CINTRA DA COSTA PEREIRA,CARLOS EDUARDO CADOCA,masculino,PE,PDT,Suplente,dep.carloseduardocadoca@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/74474.jpg,3215-5583,2,32,15
35,187008,SILAS FREIRE PEREIRA E SILVA,SILAS FREIRE,masculino,PI,PODE,Suplente,dep.silasfreire@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/187008.jpg,3215-5484,5,9,3
36,187008,SILAS FREIRE PEREIRA E SILVA,SILAS FREIRE,masculino,PI,PODE,Suplente,dep.silasfreire@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/187008.jpg,3215-5484,5,9,4
37,187008,SILAS FREIRE PEREIRA E SILVA,SILAS FREIRE,masculino,PI,PODE,Suplente,dep.silasfreire@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/187008.jpg,3215-5484,5,31,3
38,187008,SILAS FREIRE PEREIRA E SILVA,SILAS FREIRE,masculino,PI,PODE,Suplente,dep.silasfreire@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/187008.jpg,3215-5484,5,31,4
39,73992,YEDA RORATO CRUSIUS,YEDA CRUSIUS,feminino,RS,PSDB,Titular,dep.yedacrusius@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/73992.jpg,3215-5445,2,37,11
40,160566,NELSON PADOVANI,NELSON PADOVANI,masculino,PR,PSDB,Suplente,dep.nelsonpadovani@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/160566.jpg,3215-5513,1,24,21
41,193982,LUCIANO FRED BRAGA PENHA,PASTOR LUCIANO BRAGA,masculino,BA,PRB,Suplente,dep.pastorlucianobraga@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/193982.jpg,3215-5810,9,19,5
42,193982,LUCIANO FRED BRAGA PENHA,PASTOR LUCIANO BRAGA,masculino,BA,PRB,Suplente,dep.pastorlucianobraga@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/193982.jpg,3215-5810,9,19,5
43,193982,LUCIANO FRED BRAGA PENHA,PASTOR LUCIANO BRAGA,masculino,BA,PRB,Suplente,dep.pastorlucianobraga@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/193982.jpg,3215-5810,9,1,5
44,193982,LUCIANO FRED BRAGA PENHA,PASTOR LUCIANO BRAGA,masculino,BA,PRB,Suplente,dep.pastorlucianobraga@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/193982.jpg,3215-5810,9,1,5
45,193982,LUCIANO FRED BRAGA PENHA,PASTOR LUCIANO BRAGA,masculino,BA,PRB,Suplente,dep.pastorlucianobraga@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/193982.jpg,3215-5810,9,18,5
46,193982,LUCIANO FRED BRAGA PENHA,PASTOR LUCIANO BRAGA,masculino,BA,PRB,Suplente,dep.pastorlucianobraga@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/193982.jpg,3215-5810,9,18,5
47,160622,VICENTE CÂNDIDO DA SILVA,VICENTE CANDIDO,masculino,SP,PT,Titular,dep.vicentecandido@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/160622.jpg,3215-5819,1,9,36
48,160649,ESPERIDIÃO AMIN HELOU FILHO,ESPERIDIÃO AMIN,masculino,SC,PP,Titular,dep.esperidiaoamin@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/160649.jpg,3215-5252,1,40,8
49,93472,CRISTIANE BRASIL FRANCISCO,CRISTIANE BRASIL,feminino,RJ,PTB,Titular,dep.cristianebrasil@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/93472.jpg,3215-5644,6,23,22
50,141428,FÁBIO SALUSTINO MESQUITA DE FARIA,FÁBIO FARIA,masculino,RN,PSD,Titular,dep.fabiofaria@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/141428.jpg,3215-5706,2,26,21
51,164359,WALDIR SOARES DE OLIVEIRA,DELEGADO WALDIR,masculino,GO,PR,Titular,dep.delegadowaldir@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/164359.jpg,3215-5645,7,36,12
52,178873,HELDER IGNACIO SALOMAO,HELDER SALOMÃO,masculino,ES,PT,Titular,dep.heldersalomao@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178873.jpg,3215-5573,4,38,10
53,73553,NELSON MARQUEZELLI,NELSON MARQUEZELLI,masculino,SP,PTB,Titular,dep.nelsonmarquezelli@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/73553.jpg,3215-5920,1,42,6
54,113247,VALMIR PRASCIDELLI,VALMIR PRASCIDELLI,masculino,SP,PT,Titular,dep.valmirprascidelli@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/113247.jpg,3215-5837,1,31,16
55,178984,MIGUEL MOUBADDA HADDAD,MIGUEL HADDAD,masculino,SP,PSDB,Titular,dep.miguelhaddad@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178984.jpg,3215-5250,5,37,11
56,73666,JOVAIR DE OLIVEIRA ARANTES,JOVAIR ARANTES,masculino,GO,PTB,Titular,dep.jovairarantes@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/73666.jpg,3215-5504,4,18,27
57,151208,LAERCIO JOSÉ DE OLIVEIRA,LAERCIO OLIVEIRA,masculino,SE,SD,Titular,dep.laerciooliveira@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/151208.jpg,3215-5629,1,29,19
58,178946,SORAYA ALENCAR DOS SANTOS,SORAYA SANTOS,feminino,RJ,PMDB,Titular,dep.sorayasantos@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178946.jpg,3215-5352,1,38,9
59,129618,MARIA GORETE PEREIRA,GORETE PEREIRA,feminino,CE,PR,Titular,dep.goretepereira@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/129618.jpg,3215-5206,20,28,18
60,74848,JANDIRA FEGHALI,JANDIRA FEGHALI,feminino,RJ,PCdoB,Titular,dep.jandirafeghali@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/74848.jpg,3215-5622,4,34,14
61,141518,PAULO PEREIRA DA SILVA,PAULO PEREIRA DA SILVA,masculino,SP,SD,Titular,dep.paulopereiradasilva@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/141518.jpg,3215-5217,2,20,26
62,178896,NEWTON CARDOSO JUNIOR,NEWTON CARDOSO JR,masculino,MG,PMDB,Titular,dep.newtoncardosojr@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178896.jpg,3215-5932,1,26,21
63,178875,ALEXANDRE BALDY DE SANT'ANNA BRAGA,ALEXANDRE BALDY,masculino,GO,PODE,Titular,dep.alexandrebaldy@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178875.jpg,3215-5441,1,3,13
64,178875,ALEXANDRE BALDY DE SANT'ANNA BRAGA,ALEXANDRE BALDY,masculino,GO,PODE,Titular,dep.alexandrebaldy@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178875.jpg,3215-5441,1,3,4
65,178875,ALEXANDRE BALDY DE SANT'ANNA BRAGA,ALEXANDRE BALDY,masculino,GO,PODE,Titular,dep.alexandrebaldy@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178875.jpg,3215-5441,1,28,13
66,178875,ALEXANDRE BALDY DE SANT'ANNA BRAGA,ALEXANDRE BALDY,masculino,GO,PODE,Titular,dep.alexandrebaldy@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178875.jpg,3215-5441,1,28,4
67,74095,PAUDERNEY TOMAZ AVELINO,PAUDERNEY AVELINO,masculino,AM,DEM,Titular,dep.pauderneyavelino@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/74095.jpg,3215-5610,2,36,12
68,178998,TANIA RAQUEL DE QUEIROZ MUNIZ,RAQUEL MUNIZ,feminino,MG,PSD,Titular,dep.raquelmuniz@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178998.jpg,3215-5444,2,38,9
69,160601,MARCO ANTÔNIO FELICIANO,PR. MARCO FELICIANO,masculino,SP,PSC,Titular,dep.pr.marcofeliciano@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/160601.jpg,3215-5254,10,44,3
70,160518,WELITON FERNANDES PRADO,WELITON PRADO,masculino,MG,PROS,Titular,dep.welitonprado@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/160518.jpg,3215-5862,1,45,3
71,160545,ALEXANDRE LEITE DA SILVA,ALEXANDRE LEITE,masculino,SP,DEM,Titular,dep.alexandreleite@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/160545.jpg,3215-5841,3,29,18
72,178980,ANTONIO GOULART DOS REIS,GOULART,masculino,SP,PSD,Titular,dep.goulart@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178980.jpg,3215-5533,11,38,8
73,160646,FERNANDO DESTITO FRANCISCHINI,DELEGADO FRANCISCHINI,masculino,PR,SD,Titular,dep.delegadofrancischini@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/160646.jpg,3215-5265,2,31,16
74,160642,FRANCISCO EURICO DA SILVA,PASTOR EURICO,masculino,PE,PHS,Titular,dep.pastoreurico@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/160642.jpg,3215-5906,12,32,16
75,148134,VICTORIO GALLI FILHO,PROFESSOR VICTÓRIO GALLI,masculino,MT,PSC,Titular,dep.professorvictoriogalli@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/148134.jpg,3215-5539,35,40,8
76,67138,IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,IRACEMA PORTELLA,feminino,PI,PP,Titular,dep.iracemaportella@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/67138.jpg,3215-5924,3,21,26
77,178860,PAULO VELLOSO DANTAS AZI,PAULO AZI,masculino,BA,DEM,Titular,dep.pauloazi@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178860.jpg,3215-5635,1,41,6
78,178949,ZENAIDE MAIA CALADO PEREIRA DOS SANTOS,ZENAIDE MAIA,feminino,RN,PR,Titular,dep.zenaidemaia@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178949.jpg,3215-5439,2,44,3
79,141558,WALDIR MARANHÃO CARDOSO,WALDIR MARANHÃO,masculino,MA,AVANTE,Titular,dep.waldirmaranhao@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/141558.jpg,3215-5975,2,35,11
80,178911,SIMONE MARIA MORGADO FERREIRA,SIMONE MORGADO,feminino,PA,PMDB,Titular,dep.simonemorgado@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178911.jpg,3215-5440,1,33,15
81,178971,JONY MARCOS DE SOUZA ARAUJO,JONY MARCOS,masculino,SE,PRB,Titular,dep.jonymarcos@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178971.jpg,3215-5807,1,35,13
82,152605,GLAUBER DE MEDEIROS BRAGA,GLAUBER BRAGA,masculino,RJ,PSOL,Titular,dep.glauberbraga@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/152605.jpg,3215-5362,2,47,1
83,160565,MARA CRISTINA GABRILLI,MARA GABRILLI,feminino,SP,PSDB,Titular,dep.maragabrilli@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/160565.jpg,3215-5226,5,33,14
84,141411,DAGOBERTO NOGUEIRA FILHO,DAGOBERTO NOGUEIRA,masculino,MS,PDT,Titular,dep.dagobertonogueira@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/141411.jpg,3215-5654,6,1,4
85,141411,DAGOBERTO NOGUEIRA FILHO,DAGOBERTO NOGUEIRA,masculino,MS,PDT,Titular,dep.dagobertonogueira@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/141411.jpg,3215-5654,6,43,4
86,74558,GIVALDO DE SÁ GOUVEIA,GIVALDO CARIMBÃO,masculino,AL,PHS,Titular,dep.givaldocarimbao@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/74558.jpg,3215-5732,5,34,14
87,178839,JESSICA ROJAS SALES,JÉSSICA SALES,feminino,AC,PMDB,Titular,dep.jessicasales@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178839.jpg,3215-5952,3,16,32
88,179000,MARCELO HENRIQUE TEIXEIRA DIAS,MARCELO ÁLVARO ANTÔNIO,masculino,MG,PR,Titular,dep.marceloalvaroantonio@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/179000.jpg,3215-5824,9,32,15
89,178826,SERGIO OLIMPIO GOMES,MAJOR OLIMPIO,masculino,SP,SD,Titular,dep.majorolimpio@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178826.jpg,3215-5279,17,36,12
90,74010,VALDIR COLATTO,VALDIR COLATTO,masculino,SC,PMDB,Titular,dep.valdircolatto@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/74010.jpg,3215-5516,3,39,8
91,178931,LUCIANO DUCCI,LUCIANO DUCCI,masculino,PR,PSB,Titular,dep.lucianoducci@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178931.jpg,3215-5427,5,34,11
92,141384,ANTÔNIO CARLOS VALADARES FILHO,VALADARES FILHO,masculino,SE,PSB,Titular,dep.valadaresfilho@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/141384.jpg,3215-5660,4,36,12
93,167493,WEVERTON ROCHA MARQUES DE SOUSA,WEVERTON ROCHA,masculino,MA,PDT,Titular,dep.wevertonrocha@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/167493.jpg,3215-5405,7,21,25
94,162332,LUIZ HILOSHI NISHIMORI,LUIZ NISHIMORI,masculino,PR,PR,Titular,dep.luiznishimori@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/162332.jpg,3215-5907,3,30,17
95,74253,JULIO LUIZ BAPTISTA LOPES,JULIO LOPES,masculino,RJ,PP,Titular,dep.juliolopes@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/74253.jpg,3215-5544,18,39,9
96,178965,JOAO DERLY DE OLIVEIRA NUNES JUNIOR,JOÃO DERLY,masculino,RS,REDE,Titular,dep.joaoderly@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178965.jpg,3215-5901,3,35,13
97,178857,JORGE JOSE SANTOS PEREIRA SOLLA,JORGE SOLLA,masculino,BA,PT,Titular,dep.jorgesolla@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178857.jpg,3215-5571,3,34,13
98,178877,FABIO FERNANDES DE SOUSA,FÁBIO SOUSA,masculino,GO,PSDB,Titular,dep.fabiosousa@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178877.jpg,3215-5271,13,37,9
99,74299,JOSÉ LEÔNIDAS DE MENEZES CRISTINO,LEÔNIDAS CRISTINO,masculino,CE,PDT,Titular,dep.leonidascristino@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/74299.jpg,3215-5948,1,38,10
100,73441,CELSO UBIRAJARA RUSSOMANNO,CELSO RUSSOMANNO,masculino,SP,PRB,Titular,dep.celsorussomanno@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/73441.jpg,3215-5960,3,37,11
101,141401,CARLOS GOMES BEZERRA,CARLOS BEZERRA,masculino,MT,PMDB,Titular,dep.carlosbezerra@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/141401.jpg,3215-5815,41,42,5
102,74833,AROLDE DE OLIVEIRA,AROLDE DE OLIVEIRA,masculino,RJ,PSC,Titular,dep.aroldedeoliveira@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/74833.jpg,3215-5917,1,37,11
103,74784,LUIZA ERUNDINA DE SOUSA,LUIZA ERUNDINA,feminino,SP,PSOL,Titular,dep.luizaerundina@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/74784.jpg,3215-5620,1,39,9
104,152610,BENEDITO ROBERTO ALVES FERREIRA,ROBERTO ALVES,masculino,SP,PRB,Titular,dep.robertoalves@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/152610.jpg,3215-5946,3,45,2
105,160599,DIMAS FABIANO TOLEDO JÚNIOR,DIMAS FABIANO,masculino,MG,PP,Titular,dep.dimasfabiano@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/160599.jpg,3215-5325,1,44,4
106,141439,FRANCISCO JOSÉ D'ANGELO PINTO,CHICO D'ANGELO,masculino,RJ,PT,Titular,dep.chicodangelo@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/141439.jpg,3215-5542,7,23,1
107,141439,FRANCISCO JOSÉ D'ANGELO PINTO,CHICO D'ANGELO,masculino,RJ,PT,Titular,dep.chicodangelo@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/141439.jpg,3215-5542,7,23,10
108,141439,FRANCISCO JOSÉ D'ANGELO PINTO,CHICO D'ANGELO,masculino,RJ,PT,Titular,dep.chicodangelo@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/141439.jpg,3215-5542,7,14,1
109,141439,FRANCISCO JOSÉ D'ANGELO PINTO,CHICO D'ANGELO,masculino,RJ,PT,Titular,dep.chicodangelo@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/141439.jpg,3215-5542,7,14,10
110,178909,HELIO LEITE DA SILVA,HÉLIO LEITE,masculino,PA,DEM,Titular,dep.helioleite@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178909.jpg,3215-5403,2,38,10
111,74398,MARIA DO ROSÁRIO NUNES,MARIA DO ROSÁRIO,feminino,RS,PT,Titular,dep.mariadorosario@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/74398.jpg,3215-5312,3,26,21
112,178868,LUIZ ODORICO MONTEIRO DE ANDRADE,ODORICO MONTEIRO,masculino,CE,PSB,Titular,dep.odoricomonteiro@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178868.jpg,3215-5582,6,22,9
113,178868,LUIZ ODORICO MONTEIRO DE ANDRADE,ODORICO MONTEIRO,masculino,CE,PSB,Titular,dep.odoricomonteiro@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178868.jpg,3215-5582,6,22,7
114,178868,LUIZ ODORICO MONTEIRO DE ANDRADE,ODORICO MONTEIRO,masculino,CE,PSB,Titular,dep.odoricomonteiro@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178868.jpg,3215-5582,6,8,9
115,178868,LUIZ ODORICO MONTEIRO DE ANDRADE,ODORICO MONTEIRO,masculino,CE,PSB,Titular,dep.odoricomonteiro@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178868.jpg,3215-5582,6,8,7
116,178962,ANTONIO CARLOS GOMES DA SILVA,CARLOS GOMES,masculino,RS,PRB,Titular,dep.carlosgomes@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178962.jpg,3215-5285,1,41,7
117,160571,JOÃO RODRIGUES,JOÃO RODRIGUES,masculino,SC,PSD,Titular,dep.joaorodrigues@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/160571.jpg,3215-5503,4,36,11
118,178887,RUBENS PEREIRA E SILVA JUNIOR,RUBENS PEREIRA JÚNIOR,masculino,MA,PCdoB,Titular,dep.rubenspereirajunior@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178887.jpg,3215-5574,21,25,22
119,178851,JOZIANE ARAUJO NASCIMENTO,JOZI ARAÚJO,feminino,AP,PODE,Titular,dep.joziaraujo@camara.gov.br,http://www.camara.gov.br/internet/deputado/bandep/178851.jpg,3215-5309,4,9,7
