,Unnamed: 0,ideCadastro,codOrcamento,condicao,matricula,idParlamentar,nome,nomeParlamentar,urlFoto,sexo,uf,partido,gabinete,anexo,fone,email,comissoes,qtdPropostas,qtdPresencas,qtdAusencias
10,12,178802,3707.0,Titular,318,5830522,LUIZ CARLOS RAMOS,LUIZ CARLOS RAMOS,http://www.camara.gov.br/internet/deputado/bandep/178802.jpg,masculino,RJ,PODE,636,4,3215-5636,dep.luizcarlosramos@camara.gov.br,"{u'titular': None, u'suplente': None}",3.0,15.0,1
12,13,114941,3695.0,Titular,62,5830528,JOSINIANE BRAGA NUNES,JOSI NUNES,http://www.camara.gov.br/internet/deputado/bandep/114941.jpg,feminino,TO,PMDB,950,4,3215-5950,dep.josinunes@camara.gov.br,"{u'titular': None, u'suplente': None}",10.0,40.0,8
13,14,141454,2399.0,Titular,451,5830645,JACOB ALFREDO STOFFELS KAEFER,ALFREDO KAEFER,http://www.camara.gov.br/internet/deputado/bandep/141454.jpg,masculino,PR,PSL,818,4,3215-5818,dep.alfredokaefer@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,25.0,21
14,15,141472,2538.0,Titular,384,5830307,JOSÉ RICARDO ALVARENGA TRIPOLI,RICARDO TRIPOLI,http://www.camara.gov.br/internet/deputado/bandep/141472.jpg,masculino,SP,PSDB,241,4,3215-5241,dep.ricardotripoli@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,32.0,15
15,16,141429,2448.0,Titular,120,5830330,FELIPE CATALÃO MAIA,FELIPE MAIA,http://www.camara.gov.br/internet/deputado/bandep/141429.jpg,masculino,RN,DEM,528,4,3215-5528,dep.felipemaia@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,37.0,9
16,17,160663,2844.0,Titular,456,5830499,LEOPOLDO COSTA MEYER,LEOPOLDO MEYER,http://www.camara.gov.br/internet/deputado/bandep/160663.jpg,masculino,PR,PSB,233,4,3215-5233,dep.leopoldomeyer@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,45.0,3
17,18,178919,3726.0,Titular,152,5830476,MARINALDO ROSENDO DE ALBUQUERQUE,MARINALDO ROSENDO,http://www.camara.gov.br/internet/deputado/bandep/178919.jpg,masculino,PE,PSB,827,4,3215-5827,dep.marinaldorosendo@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,31.0,16
18,19,73553,1818.0,Titular,381,5830353,NELSON MARQUEZELLI,NELSON MARQUEZELLI,http://www.camara.gov.br/internet/deputado/bandep/73553.jpg,masculino,SP,PTB,920,4,3215-5920,dep.nelsonmarquezelli@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,42.0,6
19,20,160758,2756.0,Titular,233,5830599,DOMINGOS SÁVIO CAMPOS RESENDE,DOMINGOS SÁVIO,http://www.camara.gov.br/internet/deputado/bandep/160758.jpg,masculino,MG,PSDB,345,4,3215-5345,dep.domingossavio@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,38.0,10
20,21,178998,3743.0,Titular,258,5830376,TANIA RAQUEL DE QUEIROZ MUNIZ,RAQUEL MUNIZ,http://www.camara.gov.br/internet/deputado/bandep/178998.jpg,feminino,MG,PSD,444,4,3215-5444,dep.raquelmuniz@camara.gov.br,"{u'titular': None, u'suplente': None}",2.0,38.0,9
21,22,178905,3101.0,Titular,403,5830459,FABIO PAULINO GARCIA,FABIO GARCIA,http://www.camara.gov.br/internet/deputado/bandep/178905.jpg,masculino,MT,PSB,278,3,3215-5278,dep.fabiogarcia@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,27.0,20
22,23,137070,3775.0,Titular,66,5830708,VICENTE ALVES DE OLIVEIRA JUNIOR,VICENTINHO JÚNIOR,http://www.camara.gov.br/internet/deputado/bandep/137070.jpg,masculino,TO,PR,817,4,3215-5817,dep.vicentinhojunior@camara.gov.br,"{u'titular': None, u'suplente': None}",2.0,35.0,12
23,24,178882,3046.0,Titular,72,5830768,ANDRE LUIZ CARVALHO RIBEIRO,ANDRÉ FUFUCA,http://www.camara.gov.br/internet/deputado/bandep/178882.jpg,masculino,MA,PP,945,4,3215-5945,dep.andrefufuca@camara.gov.br,"{u'titular': None, u'suplente': None}",10.0,21.0,25
24,25,178825,3703.0,Titular,57,5830505,LEONARDO CUNHA DE BRITO,LEO DE BRITO,http://www.camara.gov.br/internet/deputado/bandep/178825.jpg,masculino,AC,PT,619,4,3215-5619,dep.leodebrito@camara.gov.br,"{u'titular': None, u'suplente': None}",2.0,29.0,19
25,26,160617,2835.0,Titular,424,5830754,THIAGO MELLO PEIXOTO DA SILVEIRA,THIAGO PEIXOTO,http://www.camara.gov.br/internet/deputado/bandep/160617.jpg,masculino,GO,PSD,941,4,3215-5941,dep.thiagopeixoto@camara.gov.br,"{u'titular': None, u'suplente': None}",6.0,40.0,8
26,27,160527,2711.0,Titular,129,5830568,AGUINALDO VELLOSO BORGES RIBEIRO,AGUINALDO RIBEIRO,http://www.camara.gov.br/internet/deputado/bandep/160527.jpg,masculino,PB,PP,735,4,3215-5735,dep.aguinaldoribeiro@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,26.0,19
27,28,178930,3095.0,Titular,452,5830516,EVANDRO ROGERIO ROMAN,EVANDRO ROMAN,http://www.camara.gov.br/internet/deputado/bandep/178930.jpg,masculino,PR,PSD,303,4,3215-5303,dep.evandroroman@camara.gov.br,"{u'titular': None, u'suplente': None}",5.0,33.0,12
28,29,141413,2570.0,Titular,475,5830313,DÉCIO NERY DE LIMA,DÉCIO LIMA,http://www.camara.gov.br/internet/deputado/bandep/141413.jpg,masculino,SC,PT,218,4,3215-5218,dep.deciolima@camara.gov.br,"{u'titular': None, u'suplente': None}",2.0,34.0,14
29,30,160508,2871.0,Titular,182,5830319,AFONSO BANDEIRA FLORENCE,AFONSO FLORENCE,http://www.camara.gov.br/internet/deputado/bandep/160508.jpg,masculino,BA,PT,305,4,3215-5305,dep.afonsoflorence@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,34.0,14
30,31,178945,3756.0,Titular,325,5830662,ROSANGELA DE SOUZA GOMES,ROSANGELA GOMES,http://www.camara.gov.br/internet/deputado/bandep/178945.jpg,feminino,RJ,PRB,438,4,3215-5438,dep.rosangelagomes@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,41.0,5
31,32,141405,2569.0,Titular,472,5830413,CELSO MALDANER,CELSO MALDANER,http://www.camara.gov.br/internet/deputado/bandep/141405.jpg,masculino,SC,PMDB,311,4,3215-5311,dep.celsomaldaner@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,40.0,8
32,33,74235,3446.0,Titular,281,5830562,MARCUS ANTÔNIO VICENTE,MARCUS VICENTE,http://www.camara.gov.br/internet/deputado/bandep/74235.jpg,masculino,ES,PP,360,4,3215-5360,dep.marcusvicente@camara.gov.br,"{u'titular': None, u'suplente': None}",3.0,32.0,14
33,34,178968,3034.0,Titular,175,5830370,ADELSON BARRETO DOS SANTOS,ADELSON BARRETO,http://www.camara.gov.br/internet/deputado/bandep/178968.jpg,masculino,SE,PR,937,4,3215-5937,dep.adelsonbarreto@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,39.0,9
34,35,141555,2517.0,Titular,397,5830631,VINICIUS RAPOZO DE CARVALHO,VINICIUS CARVALHO,http://www.camara.gov.br/internet/deputado/bandep/141555.jpg,masculino,SP,PRB,356,4,3215-5356,dep.viniciuscarvalho@camara.gov.br,"{u'titular': None, u'suplente': None}",8.0,26.0,22
35,36,178878,3257.0,Titular,429,5830559,GIUSEPPE VECCI,GIUSEPPE VECCI,http://www.camara.gov.br/internet/deputado/bandep/178878.jpg,masculino,GO,PSDB,383,3,3215-5383,dep.giuseppevecci@camara.gov.br,"{u'titular': None, u'suplente': None}",3.0,35.0,13
36,37,160672,2784.0,Titular,307,5830725,JEAN WYLLYS DE MATOS SANTOS,JEAN WYLLYS,http://www.camara.gov.br/internet/deputado/bandep/160672.jpg,masculino,RJ,PSOL,646,4,3215-5646,dep.jeanwyllys@camara.gov.br,"{u'titular': None, u'suplente': None}",11.0,39.0,9
37,38,141529,2470.0,Titular,211,5830608,ROBERTO PEREIRA DE BRITTO,ROBERTO BRITTO,http://www.camara.gov.br/internet/deputado/bandep/141529.jpg,masculino,BA,PP,733,4,3215-5733,dep.robertobritto@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,44.0,4
38,39,160612,2789.0,Titular,320,5830774,SERGIO ZVEITER,SERGIO ZVEITER,http://www.camara.gov.br/internet/deputado/bandep/160612.jpg,masculino,RJ,PODE,437,4,3215-5437,dep.sergiozveiter@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,24.0,24
39,40,178952,3779.0,Titular,125,5830419,WALTER PEREIRA ALVES,WALTER ALVES,http://www.camara.gov.br/internet/deputado/bandep/178952.jpg,masculino,RN,PMDB,435,4,3215-5435,dep.walteralves@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,35.0,13
40,41,178937,3042.0,Titular,286,5830582,ALTINEU CÔRTES FREITAS COUTINHO,ALTINEU CÔRTES,http://www.camara.gov.br/internet/deputado/bandep/178937.jpg,masculino,RJ,PMDB,578,3,3215-5578,dep.altineucortes@camara.gov.br,"{u'titular': None, u'suplente': None}",4.0,32.0,15
41,42,178970,3691.0,Titular,179,5830751,JOAO SOMARIVA DANIEL,JOÃO DANIEL,http://www.camara.gov.br/internet/deputado/bandep/178970.jpg,masculino,SE,PT,605,4,3215-5605,dep.joaodaniel@camara.gov.br,"{u'titular': None, u'suplente': None}",6.0,47.0,1
42,43,178971,3693.0,Titular,181,5830396,JONY MARCOS DE SOUZA ARAUJO,JONY MARCOS,http://www.camara.gov.br/internet/deputado/bandep/178971.jpg,masculino,SE,PRB,807,4,3215-5807,dep.jonymarcos@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,35.0,13
43,44,160535,2867.0,Titular,507,5830794,DIONILSO MATEUS MARCON,MARCON,http://www.camara.gov.br/internet/deputado/bandep/160535.jpg,masculino,RS,PT,569,3,3215-5569,dep.marcon@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,21.0,26
44,45,73768,3176.0,Titular,444,5830651,DILCEU JOÃO SPERAFICO,DILCEU SPERAFICO,http://www.camara.gov.br/internet/deputado/bandep/73768.jpg,masculino,PR,PP,746,4,3215-5746,dep.dilceusperafico@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,38.0,9
45,46,178904,3097.0,Titular,402,5830745,EZEQUIEL ANGELO FONSECA,EZEQUIEL FONSECA,http://www.camara.gov.br/internet/deputado/bandep/178904.jpg,masculino,MT,PP,658,4,3215-5658,dep.ezequielfonseca@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,37.0,10
46,47,74385,1970.0,Titular,469,5830674,HIDEKAZU TAKAYAMA,TAKAYAMA,http://www.camara.gov.br/internet/deputado/bandep/74385.jpg,masculino,PR,PSC,910,4,3215-5910,dep.takayama@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,32.0,14
47,48,141383,2519.0,Titular,333,5830625,ANTONIO CARLOS MARTINS DE BULHÕES,ANTONIO BULHÕES,http://www.camara.gov.br/internet/deputado/bandep/141383.jpg,masculino,SP,PRB,327,4,3215-5327,dep.antoniobulhoes@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,41.0,6
48,49,74283,1997.0,Titular,396,5830496,VICENTE PAULO DA SILVA,VICENTINHO,http://www.camara.gov.br/internet/deputado/bandep/74283.jpg,masculino,SP,PT,740,4,3215-5740,dep.vicentinho@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,40.0,8
49,50,73655,1479.0,Titular,411,5830433,AUGUSTO SILVEIRA DE CARVALHO,AUGUSTO CARVALHO,http://www.camara.gov.br/internet/deputado/bandep/73655.jpg,masculino,DF,SD,215,4,3215-5215,dep.augustocarvalho@camara.gov.br,"{u'titular': None, u'suplente': None}",31.0,41.0,7
50,51,178880,3721.0,Titular,432,5830445,MARCOS ABRAO RORIZ SOARES DE CARVALHO,MARCOS ABRÃO,http://www.camara.gov.br/internet/deputado/bandep/178880.jpg,masculino,GO,PPS,375,3,3215-5375,dep.marcosabrao@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,42.0,5
51,52,160591,2676.0,Titular,16,5830482,VINICIUS DE AZEVEDO GURGEL,VINICIUS GURGEL,http://www.camara.gov.br/internet/deputado/bandep/160591.jpg,masculino,AP,PR,852,4,3215-5852,dep.viniciusgurgel@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,9.0,36
52,53,93083,3061.0,Titular,193,5830296,CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,CACÁ LEÃO,http://www.camara.gov.br/internet/deputado/bandep/93083.jpg,masculino,BA,PP,320,4,3215-5320,dep.cacaleao@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,42.0,4
53,54,178966,3235.0,Titular,482,5830539,GEOVANIA DE SA RODRIGUES,GEOVANIA DE SÁ,http://www.camara.gov.br/internet/deputado/bandep/178966.jpg,feminino,SC,PSDB,606,4,3215-5606,dep.geovaniadesa@camara.gov.br,"{u'titular': None, u'suplente': None}",6.0,45.0,2
54,55,141480,2429.0,Titular,63,5830290,LÁZARO BOTELHO MARTINS,LÁZARO BOTELHO,http://www.camara.gov.br/internet/deputado/bandep/141480.jpg,masculino,TO,PP,478,3,3215-5478,dep.lazarobotelho@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,42.0,5
55,56,160600,2739.0,Titular,192,5830788,ARTHUR DE OLIVEIRA MAIA DA SILVA,ARTHUR OLIVEIRA MAIA,http://www.camara.gov.br/internet/deputado/bandep/160600.jpg,masculino,BA,PPS,830,4,3215-5830,dep.arthuroliveiramaia@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,31.0,16
56,57,178874,3762.0,Titular,283,5830682,ANTONIO SERGIO ALVES VIDIGAL,SERGIO VIDIGAL,http://www.camara.gov.br/internet/deputado/bandep/178874.jpg,masculino,ES,PDT,812,4,3215-5812,dep.sergiovidigal@camara.gov.br,"{u'titular': None, u'suplente': None}",7.0,39.0,8
57,58,178840,3780.0,Titular,59,5830688,WHERLES FERNANDES DA ROCHA,ROCHA,http://www.camara.gov.br/internet/deputado/bandep/178840.jpg,masculino,AC,PSDB,607,4,3215-5607,dep.rocha@camara.gov.br,"{u'titular': None, u'suplente': None}",8.0,37.0,11
58,59,74655,3186.0,Titular,230,5830588,EDUARDO LUIZ BARROS BARBOSA,EDUARDO BARBOSA,http://www.camara.gov.br/internet/deputado/bandep/74655.jpg,masculino,MG,PSDB,540,4,3215-1540,dep.eduardobarbosa@camara.gov.br,"{u'titular': None, u'suplente': None}",2.0,43.0,5
59,60,74273,1581.0,Titular,349,5830439,JEFFERSON ALVES DE CAMPOS,JEFFERSON CAMPOS,http://www.camara.gov.br/internet/deputado/bandep/74273.jpg,masculino,SP,PSD,346,4,3215-5346,dep.jeffersoncampos@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,31.0,16
60,61,160637,2831.0,Titular,414,5830488,RONALDO FONSECA DE SOUZA,RONALDO FONSECA,http://www.camara.gov.br/internet/deputado/bandep/160637.jpg,masculino,DF,PROS,223,4,3215-5223,dep.ronaldofonseca@camara.gov.br,"{u'titular': None, u'suplente': None}",8.0,30.0,16
61,62,62881,2700.0,Titular,95,5830390,FRANCISCO DANILO BASTOS FORTE,DANILO FORTE,http://www.camara.gov.br/internet/deputado/bandep/62881.jpg,masculino,CE,PSB,384,3,3215-5384,dep.daniloforte@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,22.0,24
62,63,178835,3020.0,Titular,490,5830619,AFONSO ANTUNES DA MOTTA,AFONSO MOTTA,http://www.camara.gov.br/internet/deputado/bandep/178835.jpg,masculino,RS,PDT,711,4,3215-5711,dep.afonsomotta@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,47.0,1
63,64,160569,2751.0,Titular,219,5830548,WALDENOR ALVES PEREIRA FILHO,WALDENOR PEREIRA,http://www.camara.gov.br/internet/deputado/bandep/160569.jpg,masculino,BA,PT,954,4,3215-5954,dep.waldenorpereira@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,33.0,14
64,65,74090,1619.0,Titular,38,5830571,ÁTILA SIDNEY LINS ALBUQUERQUE,ÁTILA LINS,http://www.camara.gov.br/internet/deputado/bandep/74090.jpg,masculino,AM,PSD,730,4,3215-5730,dep.atilalins@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,26.0,20
65,66,178960,3745.0,Titular,7,5830333,REMIDIO MONAI MONTESSI,REMÍDIO MONAI,http://www.camara.gov.br/internet/deputado/bandep/178960.jpg,masculino,RR,PR,641,4,3215-5641,dep.remidiomonai@camara.gov.br,"{u'titular': None, u'suplente': None}",2.0,30.0,17
66,67,160589,2797.0,Titular,335,5830665,BRUNA DIAS FURLAN,BRUNA FURLAN,http://www.camara.gov.br/internet/deputado/bandep/160589.jpg,feminino,SP,PSDB,836,4,3215-5836,dep.brunafurlan@camara.gov.br,"{u'titular': None, u'suplente': None}",2.0,18.0,30
67,68,178870,3755.0,Titular,415,5830310,RÔNEY TANIOS NEMER,RÔNEY NEMER,http://www.camara.gov.br/internet/deputado/bandep/178870.jpg,masculino,DF,PP,572,3,3215-5572,dep.roneynemer@camara.gov.br,"{u'titular': None, u'suplente': None}",7.0,23.0,24
68,69,178958,3066.0,Titular,3,5830456,CARLOS AUGUSTO ANDRADE SILVA,CARLOS ANDRADE,http://www.camara.gov.br/internet/deputado/bandep/178958.jpg,masculino,RR,PHS,758,4,3215-5758,dep.carlosandrade@camara.gov.br,"{u'titular': None, u'suplente': None}",3.0,34.0,13
69,70,160601,2812.0,Titular,379,5830379,MARCO ANTÔNIO FELICIANO,PR. MARCO FELICIANO,http://www.camara.gov.br/internet/deputado/bandep/160601.jpg,masculino,SP,PSC,254,4,3215-5254,dep.pr.marcofeliciano@camara.gov.br,"{u'titular': None, u'suplente': None}",10.0,44.0,3
70,71,72912,3071.0,Titular,292,5830473,CELSO PANSERA,CELSO PANSERA,http://www.camara.gov.br/internet/deputado/bandep/72912.jpg,masculino,RJ,PMDB,475,3,3215-5475,dep.celsopansera@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,33.0,14
71,72,74160,1408.0,Titular,249,5830356,PATRUS ANANIAS DE SOUSA,PATRUS ANANIAS,http://www.camara.gov.br/internet/deputado/bandep/74160.jpg,masculino,MG,PT,720,4,3215-5720,dep.patrusananias@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,33.0,14
72,73,74317,1246.0,Titular,114,5830694,JÚLIO CÉSAR DE CARVALHO LIMA,JÚLIO CESAR,http://www.camara.gov.br/internet/deputado/bandep/74317.jpg,masculino,PI,PSD,944,4,3215-5944,dep.juliocesar@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,39.0,8
73,74,160655,2815.0,Titular,383,5830479,RICARDO IZAR JUNIOR,RICARDO IZAR,http://www.camara.gov.br/internet/deputado/bandep/160655.jpg,masculino,SP,PP,634,4,3215-5634,dep.ricardoizar@camara.gov.br,"{u'titular': None, u'suplente': None}",10.0,37.0,10
74,75,178922,3767.0,Titular,161,5830425,FRANCISCO TADEU BARBOSA DE ALENCAR,TADEU ALENCAR,http://www.camara.gov.br/internet/deputado/bandep/178922.jpg,masculino,PE,PSB,820,4,3215-5820,dep.tadeualencar@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,41.0,6
75,76,178910,3692.0,Titular,33,5830502,JOAQUIM PASSARINHO PINTO DE SOUZA PORTO,JOAQUIM PASSARINHO,http://www.camara.gov.br/internet/deputado/bandep/178910.jpg,masculino,PA,PSD,339,4,3215-5339,dep.joaquimpassarinho@camara.gov.br,"{u'titular': None, u'suplente': None}",2.0,43.0,4
76,77,74156,1403.0,Titular,253,5830402,JOSÉ LEONARDO COSTA MONTEIRO,LEONARDO MONTEIRO,http://www.camara.gov.br/internet/deputado/bandep/74156.jpg,masculino,MG,PT,922,4,3215-5922,dep.leonardomonteiro@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,36.0,10
77,78,160576,2690.0,Titular,64,5830525,CESAR HANNA HALUM,CÉSAR HALUM,http://www.camara.gov.br/internet/deputado/bandep/160576.jpg,masculino,TO,PRB,422,4,3215-5422,dep.cesarhalum@camara.gov.br,"{u'titular': None, u'suplente': None}",4.0,16.0,30
78,79,178881,3043.0,Titular,68,5830565,ALUISIO GUIMARAES MENDES FILHO,ALUISIO MENDES,http://www.camara.gov.br/internet/deputado/bandep/178881.jpg,masculino,MA,PODE,931,4,3215-5931,dep.aluisiomendes@camara.gov.br,"{u'titular': None, u'suplente': None}",2.0,9.0,7
80,80,73674,1478.0,Titular,427,5830602,ROBERTO EGÍDIO BALESTRA,ROBERTO BALESTRA,http://www.camara.gov.br/internet/deputado/bandep/73674.jpg,masculino,GO,PP,219,4,3215-5219,dep.robertobalestra@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,29.0,17
81,81,160578,2841.0,Titular,446,5830508,EDMAR DE SOUZA ARRUDA,EDMAR ARRUDA,http://www.camara.gov.br/internet/deputado/bandep/160578.jpg,masculino,PR,PSD,962,4,3215-5962,dep.edmararruda@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,22.0,25
82,82,64960,1124.0,Titular,6,5830765,MARIA HELENA VERONESE RODRIGUES,MARIA HELENA,http://www.camara.gov.br/internet/deputado/bandep/64960.jpg,feminino,RR,PSB,410,4,3215-5410,dep.mariahelena@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,35.0,13
83,83,141422,2449.0,Titular,128,5830519,EFRAIM DE ARAÚJO MORAIS FILHO,EFRAIM FILHO,http://www.camara.gov.br/internet/deputado/bandep/141422.jpg,masculino,PB,DEM,744,4,3215-5744,dep.efraimfilho@camara.gov.br,"{u'titular': None, u'suplente': None}",4.0,37.0,11
84,84,178892,3079.0,Titular,227,5830705,DAMINA DE CARVALHO PEREIRA,DÂMINA PEREIRA,http://www.camara.gov.br/internet/deputado/bandep/178892.jpg,feminino,MG,PSL,434,4,3215-5434,dep.daminapereira@camara.gov.br,"{u'titular': None, u'suplente': None}",3.0,33.0,14
85,85,74262,1527.0,Titular,338,5830711,CARLOS HENRIQUE FOCESI SAMPAIO,CARLOS SAMPAIO,http://www.camara.gov.br/internet/deputado/bandep/74262.jpg,masculino,SP,PSDB,207,4,3215-5207,dep.carlossampaio@camara.gov.br,"{u'titular': None, u'suplente': None}",2.0,25.0,22
86,86,74366,1955.0,Titular,418,5830462,JOÃO CAMPOS DE ARAÚJO,JOÃO CAMPOS,http://www.camara.gov.br/internet/deputado/bandep/74366.jpg,masculino,GO,PRB,315,4,3215-5315,dep.joaocampos@camara.gov.br,"{u'titular': None, u'suplente': None}",4.0,31.0,16
87,87,151208,2608.0,Titular,176,5830362,LAERCIO JOSÉ DE OLIVEIRA,LAERCIO OLIVEIRA,http://www.camara.gov.br/internet/deputado/bandep/151208.jpg,masculino,SE,SD,629,4,3215-5629,dep.laerciooliveira@camara.gov.br,"{u'titular': None, u'suplente': None}",1.0,29.0,19
88,88,178938,3058.0,Titular,289,5830757,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CABO DACIOLO,http://www.camara.gov.br/internet/deputado/bandep/178938.jpg,masculino,RJ,AVANTE,803,4,3215-5803,dep.cabodaciolo@camara.gov.br,"{u'titular': None, u'suplente': None}",10.0,44.0,3
89,89,74570,3477.0,Titular,206,5830416,JUTAHY MAGALHÃES JÚNIOR,JUTAHY JUNIOR,http://www.camara.gov.br/internet/deputado/bandep/74570.jpg,masculino,BA,PSDB,407,4,3215-5407,dep.jutahyjunior@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,46.0,2
90,90,73778,1867.0,Titular,454,5830316,LUIZ CARLOS JORGE HAULY,LUIZ CARLOS HAULY,http://www.camara.gov.br/internet/deputado/bandep/73778.jpg,masculino,PR,PSDB,220,4,3215-5220,dep.luizcarloshauly@camara.gov.br,"{u'titular': None, u'suplente': None}",8.0,41.0,7
91,91,129037,2760.0,Titular,244,5830611,GABRIEL GUIMARÃES DE ANDRADE,GABRIEL GUIMARÃES,http://www.camara.gov.br/internet/deputado/bandep/129037.jpg,masculino,MG,PT,821,4,3215-5821,dep.gabrielguimaraes@camara.gov.br,"{u'titular': None, u'suplente': None}",0.0,26.0,22
